P2;12;9.8;7.3;4.0;5.25;3.65
P3;12;9.0;5.95;7.2;3.25;4.6
P4;12;6.0;11.4;6.5;2.2;3.9
P5;12;7.05;12.25;3.0;4.25;3.45
P0;13;10.9;9.25;2.95;3.0;3.9
P1;13;14.35;5.75;4.0;2.2;3.7
P2;13;10.25;7.0;3.75;5.25;3.75
P3;13;9.3;6.6;6.8;3.15;4.15
P4;13;5.95;11.55;7.5;1.7;3.3
P5;13;7.5;12.25;3.25;3.65;3.35
P0;14;10.05;10.25;3.6;2.35;3.75
P1;14;14.3;5.7;4.1;2.2;3.7
P2;14;9.65;6.75;3.9;5.65;4.05
P3;14;9.3;7.25;6.7;2.55;4.2
P4;14;6.15;12.25;7.35;1.35;2.9
P5;14;7.05;12.1;3.25;3.65;3.95
P0;15;10.0;10.75;3.8;1.95;3.5
P1;15;12.9;7.3;4.7;1.95;3.15
P2;15;9.3;7.45;3.25;6.35;3.65
P3;15;8.7;7.4;7.1;3.0;3.8
P4;15;5.85;12.75;6.65;1.6;3.15
P5;15;6.3;12.9;2.75;3.35;4.7
P0;16;9.95;10.05;3.4;2.2;4.4
P1;16;13.15;7.65;4.1;2.25;2.85
P2;16;8.7;7.75;3.2;6.5;3.85
P3;16;8.25;7.25;8.05;2.6;3.85
P4;16;5.6;12.25;6.2;2.15;3.8
P5;16;5.9;12.65;3.4;3.7;4.35
P0;17;10.85;9.7;2.95;2.3;4.2
P1;17;12.25;8.3;4.3;2.0;3.15
P2;17;9.05;7.55;2.8;6.95;3.65
P3;17;7.7;7.4;8.3;2.7;3.9
P4;17;5.35;12.1;5.7;2.25;4.6
P5;17;5.7;13.5;4.2;3.05;3.55
P0;18;10.4;10.15;2.8;2.0;4.65
P1;18;11.3;8.5;5.3;1.85;3.05
P2;18;9.55;7.15;2.4;7.4;3.5
P3;18;7.1;7.65;8.4;2.75;4.1
P4;18;6.4;13.05;5.2;1.95;3.4
P5;18;5.4;13.85;4.1;2.9;3.75
P0;19;10.7;10.35;2.35;2.25;4.35
P1;19;12.2;8.2;5.55;1.8;2.25
P2;19;8.9;7.1;2.55;7.85;3.6
P3;19;6.75;8.3;8.4;2.7;3.85
P4;19;6.35;12.45;5.9;1.95;3.35
P5;19;5.4;13.85;3.9;3.25;3.6
P0;20;10.05;11.15;2.3;2.35;4.15
P1;20;11.6;8.5;6.0;1.9;2.0
P2;20;8.15;8.15;2.7;8.3;2.7
P3;20;6.25;8.65;8.55;2.7;3.85
P4;20;6.05;13.2;5.85;2.05;2.85
P5;20;5.25;13.35;4.15;3.25;4.0
P0;21;8.7;12.6;2.0;2.7;4.0
P1;21;12.15;8.7;5.05;2.55;1.55
P2;21;7.4;8.05;3.2;8.3;3.05
P3;21;6.0;8.75;8.45;2.9;3.9
P4;21;5.1;13.65;6.1;1.95;3.2
P5;21;3.95;13.95;4.3;3.9;3.9
P0;22;7.6;13.3;1.95;3.05;4.1
P1;22;11.65;8.65;5.95;2.5;1.25
